id,text,commodity_id,writer,date,recommend
566,Items received fast and nicely packed. Thanks to the seller and will continue to shop more.,1,*******,2016/12/28,Highly Recommend
567,I quite like the fact that i can fit. And it did not take too long.,1,*******,2016/12/28,Highly Recommend
568,The pans size smaller delivery fast,1,*******,2016/12/28,netural
569,"Received with good condition but need to wait 10 days to receive.\
White dress material is not cotton, it is not suitable for hot weather....",1,*******,2016/12/28,Recommend
570,Nothing much to fuss about for the price you paid for,1,*******,2016/12/28,netural
571,I've brought total 6sets... above 3 sizes does not fit what was written in the size chart. Turn up the abv 3sets I cannot wear. Luckily it fits my mum.,1,*******,2016/12/28,netural
572,fast delivery before Xmas,1,*******,2016/12/27,Highly Recommend
573,Quality is good. The blouse maybe slightly shorter for tall people.,1,*******,2016/12/27,Highly Recommend
574,Gd and cheap. Material is so so but is gd enuff for local weather. Cut is gd.,1,*******,2016/12/27,Highly Recommend
575,Item received have yet open,1,*******,2016/12/27,Highly Recommend
576,delivery was fast. item pack nicely,1,*******,2016/12/27,Recommend
577,"pack nicely, delivery was fast.",1,*******,2016/12/27,Recommend
578,Very prompt processing and efficient delivery. Ordered 6 items. All received in good conditions.,1,*******,2016/12/27,Highly Recommend
579,Received in prompt. Bad quality and cutting.,1,*******,2016/12/27,Not Recommend
580,"Item so bad ..can see through\
Even not worth of $5 price.",1,*******,2016/12/27,Not Recommend
581,received in good condition,1,*******,2016/12/27,Highly Recommend
582,"For 14-16 size just op for the biggest size on the seller item list! Definitely can wear, so happy!",1,*******,2016/12/26,Highly Recommend
583,"Received, quality not that good.",1,*******,2016/12/26,Recommend
584,Recieved items in gd conditions. Sizes some are very to what i want but bot sure after 'll it shink. Overall quality quite gd,1,*******,2016/12/26,Recommend
585,Quality is ok for the price. Hopefully seller can allow me to exchange as size is too big for me.,1,*******,2016/12/26,Recommend
586,Quality of material is acceptable for the price. Nice...,1,*******,2016/12/26,Highly Recommend
587,Received in good condition but the did not like the material..,1,*******,2016/12/26,netural
588,"Disappointed w the items. Materials are not comfortable for the hoodie, and the cutting is quite bad. Not recommended",1,*******,2016/12/26,Not Recommend
589,"Quality is not good, all 4 pieces looks different from photo.",1,*******,2016/12/26,Recommend
590,Took around a week plus to reached. Actually on 19th December shipping track that items on schedule delivery yet got the items on Xmas eve.. is the courier fault. Items received in good condition and same as picture. Good buy... seller were nice on helpful on my enquires. hopefully they will have other courier service... thanks,1,*******,2016/12/25,Recommend
591,Item received in gd condition. As per picture.,1,*******,2016/12/25,Highly Recommend
592,"2 words to describe, SUPER DISAPPOINTED!!! Size does not tally to the qctual producr and its just a waste of my loney!!!",1,*******,2016/12/25,Highly Recommend
593,Blouse too large but pant is just nice,1,*******,2016/12/25,Recommend
594,Took pretty long for item to be delivered!however seller was pretty prompy in replying me! Items all  received!thanks seller!,1,*******,2016/12/25,Highly Recommend
595,"Bought few items but one, was wrongly sent.",1,*******,2016/12/25,netural
596,My wife love it the quality is very good.,1,*******,2016/12/25,Highly Recommend
597,Thanks you ...nice not bad,1,*******,2016/12/24,Not Recommend
598,"Gd buy.. haven't try yet..   thank u seller,..",1,*******,2016/12/24,Highly Recommend
599,"Yet to try.. Delivery take time to reach, overall im happy that i received the item safely at my doorstep..",1,*******,2016/12/24,Highly Recommend
600,"Seller not responsive, very disappointing. Wasted money. Really regret to buy.",1,*******,2016/12/24,netural
601,"All the items are way to gigantic!!! Bot 2 sweater, 2 dress, 1 jeans romper &amp; 1 set... need to send for alterations then can wear. ('_')",1,*******,2016/12/24,Recommend
602,Items received in good condition,1,*******,2016/12/24,Not Recommend
603,"收到货物，很快，衣服和图片上的一样，很好�?,1""",*******,2016/12/24,Recommend,
604,Very good blouse and fast delivery. thanks,1,*******,2016/12/24,Highly Recommend
605,Material is hard. Design is much shorter than picture show. I m disappointed,1,*******,2016/12/24,netural
606,"Nice material, but size does not fit the size table shown, especially the armhole.",1,*******,2016/12/24,netural
607,Received in good condition and fast delivery.,1,*******,2016/12/24,Highly Recommend
608,slow delivery but items in good condition,1,*******,2016/12/24,Recommend
609,This is my 3rd or 4th time purchase from this seller. So far so good,1,*******,2016/12/24,Highly Recommend
610,Polite and responsive seller :) Some items were too big for me so seller has agreed to do an exchange. Thanks sooo much! :),1,*******,2016/12/24,Highly Recommend
611,Rather disappointed coz measurement states bust 110 for L size but turns out to be less than 100cm around bust. No choice but to let go of item though i love the design alot.,1,*******,2016/12/24,netural
612,"Came in good condition, thanks!",1,*******,2016/12/23,Highly Recommend
613,"Love the designs of all 4 shorts, especially the black one. Value-for-money and good quality shorts. Would be good if the shorts could be shorter in length. The delivery is relatively fast.",1,*******,2016/12/23,Highly Recommend
614,Item received in good condition. What I see is what I get.,1,*******,2016/12/23,Highly Recommend
615,Fast delivery. Received in good condition. Will order again.,1,*******,2016/12/23,Highly Recommend
616,Out of 6 items ordered only 1 item size not accurate. good workmanship and material.,1,*******,2016/12/23,Recommend
617,"Even though the arrival of the product was late, everything was fine and the seller was kind and easily approachable!! :D",1,*******,2016/12/23,Recommend
618,item recieved in great condition. size was too small. had request for change of size. Thank you for your service.,1,*******,2016/12/23,Highly Recommend
619,"fast n veri happy\
will buy frm seller again",1,*******,2016/12/23,Highly Recommend
620,"I love it all love it will buy from this seller again nice material good quality \
Thank you seller.\
Merry Christmas! !!!",1,*******,2016/12/23,Highly Recommend
621,"Bought a dress n 2 blouses, not bad for d price paid n delivery was quite fast.",1,*******,2016/12/23,Highly Recommend
622,Received the top after 2weeks.  But quality of clothes is good.,1,*******,2016/12/23,Recommend
623,Prompt delivery. Bought 3 tops and are all too big for me. Cannot wear...,1,*******,2016/12/23,netural
624,Fast delivery. The dress is a bit short,1,*******,2016/12/22,Highly Recommend
625,Well received and is nice,1,*******,2016/12/22,Highly Recommend
626,Items in good condition. Price is good. Worth the buy.,1,*******,2016/12/22,Highly Recommend
627,Delivery took more than a week. But overall the material is acceptable for the price and the size is correct.,1,*******,2016/12/22,Recommend
628,Nice cotton and comfy i may buy again soon,1,*******,2016/12/22,Highly Recommend
629,"Good\
Thanks seller,,,,,,,,,,",1,*******,2016/12/22,netural
630,"Item arrived promptly.  Sizes were quite true.\
Would buy again. Thanks seller",1,*******,2016/12/22,Highly Recommend
631,items are great will purchase again,1,*******,2016/12/22,Highly Recommend
632,Delivery took about a week. Item received in good condition.,1,*******,2016/12/22,Highly Recommend
633,Acceptable delivery time. However some of the sizes seem too big.,1,*******,2016/12/22,Highly Recommend
634,VERY HAPPY with my purchase. Fits PERFECTLY! Will def purchase again!,1,*******,2016/12/22,Highly Recommend
635,Size is not true. Smaller than the measurement provided.,1,*******,2016/12/22,Highly Recommend
636,"Looks very cheap n poor cutting, I'll not wear it,",1,*******,2016/12/22,Not Recommend
637,"Product received in good condition, reasonable price with quick delivery and prompt service.",1,*******,2016/12/22,Recommend
638,Received all in gd condition. thanks,1,*******,2016/12/22,Highly Recommend
639,Item received as described and delivery was fast.,1,*******,2016/12/22,Recommend
640,Thanks for the fast delivery... Just in time for X'mas! ;),1,*******,2016/12/22,Highly Recommend
641,Received!!!!!!!!!!!!!,1,*******,2016/12/21,netural
642,"Hi Seller\
\
It seems the measurements are wrong\
It is 2 size smaller than mentioned but luckily read the comments and ordered the correct one\
\
Thanks",1,*******,2016/12/21,Not Recommend
643,One pc Material is too thick for SG p,1,*******,2016/12/21,Recommend
644,Size diff fr the measurement and pic diff,1,*******,2016/12/21,netural
645,"Finally receive the items, have not open yet. Please do not use this courier service any more, as it really took long time to deliver..",1,*******,2016/12/21,netural
646,item well received. very fast delivery. Will order again,1,*******,2016/12/21,Recommend
647,Items received in good condition and material quite good.,1,*******,2016/12/21,Highly Recommend
648,"things pack nicely, delivery was fast (1 week time). everything was fine",1,*******,2016/12/21,Recommend
649,"Received. Thanks............,,,,,",1,*******,2016/12/21,Highly Recommend
650,The quality is good for this price!,1,*******,2016/12/21,Highly Recommend
651,good quality and fast deliver,1,*******,2016/12/21,Highly Recommend
652,"Good Quality, but unfortunately I choose the wrong sizes",1,*******,2016/12/21,Recommend
653,compare with size i like it and nice,1,*******,2016/12/21,Recommend
654,Bought 2 blouses &amp; 1 pant. Items packed neatly. Seller even texted me a day before delivery advising me that they will deliver the next day. Thanks Seller.,1,*******,2016/12/21,Highly Recommend
655,Received items in good condition. Fast delivery. Good buy!,1,*******,2016/12/21,Highly Recommend
656,Delivery took a while.. some of the items i bought are smaller compared to the others..,1,*******,2016/12/21,Recommend
657,Clothes nice.. material wise quite satisfied.. overall all gd..,1,*******,2016/12/21,Highly Recommend
658,Not as per my expectations price is ok,1,*******,2016/12/21,netural
659,Delivery quite quick but one of thr product came torn. Seller revert that it is troublesome to return and resend so suggested to give a free piece in my next order. Though I don't know if i will have other orders.,1,*******,2016/12/20,Not Recommend
660,It would be good if the top is not the type where it is see through.,1,*******,2016/12/20,Recommend
